author,comment_id,label,like_count,published_at,text
,UgxdQ4C3IPohNnebMaJ4AaABAg,neg,,,Is so fake why no blood come out to the nose?
,UgxtfD5g2JrfchYvTHl4AaABAg,neu,,,"무난하게 2025년 대한민국 최악의 게임이 될까 했는데
모 코큰 디렉터의 게임이 유사고 36일을 넘기는 경지에 도달해서 NC마저 대가리가 봉합되게 만듬...

NC게임이 이렇게 라방 많이한 경우는 처음보긴 함..."
,UgzUVoKnjlOZoAEqsep4AaABAg,neu,,,난 그냥 구식케이스가 좋은데 요즘 별로 안보이더라 ㅋㅋ
,Ugw5BLzE5EagfMnxovF4AaABAg,neg,,,ㅋㅋㅋ카톡 걍 삭제해야겄다
,Ugy_Gxe50Itk7Jvfbap4AaABAg,pos,,,디임 두판 연속mvp네 개갈통!!!!
,UgzFzQ5GXD0qP0BH0n14AaABAg,pos,,,Incroyable ! Bravo !
,UgyEQK-WleeTiaZCZK94AaABAg,pos,,,"미주언니 러블리즈 활동할 때 눈화장 진하게 한 게 너무 좋았는데, 그 이후로 화장 연하게 하고 다녀서 너무 아쉬웜ㅅ음,,, 갸루로 빛 봐서 다행이다 갸루 부캐 해줘"
,UgyGYz1scl95feFWdk14AaABAg,pos,,,"얼굴이 너무 재능이 넘침,,
오네갸루 그자체임ㅠㅠㅠ 대한민국이 담기에는 너무 큰 아름다움이라 일본가서 갸루 한번 더 말아주세요!!!!!"
,UgzGj4w-Z34qhQWIdsF4AaABAg,pos,,,"전한길선생님 응원하고 사랑합니다!!!
멸공!!!"
,UgxF85FRaxJLg30f9fd4AaABAg,pos,,,박은정 화이팅!!!!
,UgwE049A9xIAb-9Nin54AaABAg,neg,,,"아이온 2는 엔씨가 그동안 쌓아온 업보의 현주소를 보여주는 게임이라고 생각함.

BM이 나름 합리적 이지만, 엔씨라는 낙인이 보여주는 혐오.
매번 소통하려고 노력하지만, 또 말 바꾸기 들어갈 수 있다는 불안.
게임이 나쁘지는 않지만, 언제라도 리니지화 할 수 있다는 불신.

10년 쌓은 신뢰도 한순간에 무너지기 쉬운데, 그동안 쌓아온 불신을 지우기에는 솔직히 너무 멀리 온 것도 사실임."
,UgyKMAhJoq4d4ml0QyR4AaABAg,neg,,,이게 저라뎃방송이랑 다른게 저라뎃은 한번 ㅈㄴ 짜증내면서 화를냄 그걸 각인시킴 근데 봉준이한테 그렇게 기분나쁘게 각인될만큼 짜증낼 수 있는 고티어가 있나? 멸망전에선 똑같은 장면에서 실수를 누가 누가 많이 줄이나 쌈인데 얘는 걍 모름 ㅋㅋ
,Ugz4Ub92tOLiEhc9xOJ4AaABAg,neg,,,"기자 수준참 한심짝이없다ㅡㅡ
기레기언론기자들!!  정신좀차려라!!  공부좀해라쫌!!"
,UgyC-f05A5pv6BJ8F954AaABAg,neg,,,"거짓뉴스  하는  저  기자!  처벌받아라!
저런쓰레기말  하게 선임들 교육 다시 시켜라!"
,Ugwm8vtgbnNlEzaS2hp4AaABAg,neg,,,"기레기 기자들아
정신차려!!
질문다운 질문해!!!!"
,UgzJmlmRqjAdyftqE594AaABAg,pos,,,"Not buying it, but it is clever….very well done…."
,UgxP6NCenAXYY8wd7El4AaABAg,pos,,,미스터리 전설 나왔습니다ㅠ 무과금 한 달전에 시작해서 영웅도 한장없었는데ㅠㅠ축하해주세요ㅎㅎ기분이 너무 좋습니다
,Ugzw2gWwGxg_LDY7fXt4AaABAg,pos,,,Perfect strategy and skill
,UgyTUwFBXr0IIiFoF4d4AaABAg,neg,,,Why's the kid look so zesty???
,Ugw3PzEsVdzz3P5m9vx4AaABAg,pos,,,Perfect skill and shoot
,UgyhnAGrR_nIXCpPsgB4AaABAg,neu,,,That last throw. Kid already thought he had it in the bag and the dude throws a spinny spinny one ????
,Ugzfe9rgs5N5yRh0CP14AaABAg,pos,,,These are the guys that make this game no fun
,UgxXc9xEAjfPUVHg88V4AaABAg,neg,,,저런 룰은 개정되야겠다 ㅎㅎ;;;;;;;
,UgxIfde_bJ1qaoPLUWd4AaABAg,pos,,,와 원곡안무에 변화주기란 쉽지 않은데 대박..너무 잘짰다. 기가멕혀
,UgyBSc1cWGjv5XjZ_a14AaABAg,pos,,,너무 재밌어료!!
,UgwnXDRmhvnb3xHDbU14AaABAg,pos,,,집사님 화이팅!(....인데.....다시 꿈의 섬을 위한 전투(BFDIA)는 언지 플레이해주시나요?ㅠㅠ)
,UgwWFmCT_cyH_-_RssV4AaABAg,neg,,,데이터 고장났었는데 저거 데이터 안 터지면 작동안해서 모름 ㅡㅡ 개쓰레기 기능 ㅡㅡ
,UgwFytHXquVK7Yenkql4AaABAg,neu,,,드래곤 영혼 종류별로 다 모아주세요
,UgzdEY2BbgAZpYgbN3d4AaABAg,neu,,,9:15 근데 버그 아니라고 하기도 애매함 적팀 자크 패시브 터트렸더니 우리팀 풀피탱커가 죽는데 ㅈㄴ 불쾌하겟지...
,UgzXZUW4LaCsBVuf_5N4AaABAg,neu,,,"May be something behind happened, that's why she cold. Who knows what happened.  We can't criticize her without knowing."
,Ugw1POscNNJNZDyV6mp4AaABAg,neu,,,The guys was just trying to be polite even though I'm a girl I still hate that the fact the girls was being rude
,Ugy2kDjssvLw2RoiS654AaABAg,neu,,,None of them are wrong the guys just helping and the girls are just being polite by moving their dress aside its not a big deal
,UgxIHJ4avMikprHnJnx4AaABAg,pos,,,"너무 자랑 스럽습니다!
최고입니다
회장님 미소도 굿"
,UgwxUxxugau6I18h2_l4AaABAg,pos,,,퇴근후 피곤하실텐데 받아주는 남편분도~ 사랑스런부인도~ 정말 이쁜 가정이네요ㅎ 훈훈하니~보기가 너무  좋네요.
,UgwrC8hc1IDbcrIsNg94AaABAg,pos,,,수갑에 털은 ㅅㅂㅋㅋㅋ
,Ugxu8whyXyi_lkcdlKV4AaABAg,pos,,,한화 일 참~잘한다 마인드도 너무너무 좋으시고~
,Ugw49oamlmMKolOsXtZ4AaABAg,neg,,,개빡치는 순간이 한두번이 아님... a를 알려줘 라고 질문 하면 a에 대해서 걍 아는척하면서 그럴싸하게 지어내서 말함.... 그게 아니지않냐 왜 지어내서 말하냐 하면 오 ㅇㅋ 니가 맞음 ㅇㅈㄹ함ㅋㅋㅋㅋㅋㅋ
,Ugx9qlohBWWOgVYAFmJ4AaABAg,neu,,,자헨 칼바람에서 쓰레기임... 평타가 안나가...너무 느려
,UgxCiKqfha6oCoHHxyl4AaABAg,pos,,,목소리가 웃겨서 계속 보게되요ㅋ 오늘도 재밌는 영상 ㄹㅇ 압도적 감사??
,UgxbROyBOpsGL1BasY54AaABAg,pos,,,"오랫 만(?)
ㄹㅇ 재밌다ㅎㅎ"
,Ugwn1uNe0Uq6i3mEGZt4AaABAg,neu,,,일찍왔다!! ?
,UgzjZQK6e5K0vGEwN_B4AaABAg,pos,,,TAEYEON's vocal and voice is so truly a international treasure ever PERIODT.
,Ugy7pp-4mEEWzVQ43Lh4AaABAg,pos,,,역시 기준과 정의는 거의 모든 브랜드의 햄버거. 지역 특색 버거. 다 드신 후 이렇게 말씀 주셔야 먹힌다는 교훈. 대단해요. 미슐렝은 믿고 먹는 ^^
,Ugy_jfPIV8BgNwZNoip4AaABAg,neu,,,제가 뽑힐 일은 없지만 오늘 2년 짝사랑에 성공을 하였는데 선물로 주고싶습니다. 항상 열심히 영상 만들어주신 싸모스님 존경합니다. ?? 그리고 몸관리좀 하시면서 영상을 만들어주세요. 싸모스님이 있어야지 비로소 이 채널이 진정한 가치가 생기는 것이기 때문에 ㅎㅎ. 닉네임은 dhkwag입니다. 앞으로도  화이팅!?
,UgyQLiXG2nq-Rrxl7dt4AaABAg,pos,,,닉!!AlW싸모스님 이렇게 비싼거도 시청차한데도 주고?? 너무착하세여 그리고 도와준 유트브들도 짱짱!!그래도 한번 당첨돼면 좋겠습니다?ㅎ 잘보고있고 이렇게맨날 재밌는 영상도 만들어주고 갑사합니다???? 그럼 당첨돼면좋겠네여 그럼 싸바~~~
,Ugx8cbeAmwdX_osBv114AaABAg,neg,,,2025년에 K-게임은 이런 수준의 게임이 나온다는거에 놀라고 이런 걸 하는 놈이 있다는 거에 놀라네요 ㅎㅎ;;;;
,UgwNRfmpklfxzWIv2NN4AaABAg,pos,,,아무쪼록 새벽에 이벤트매치까지 챙겨봐 주신 의문의 g2팬님들 감사합니다 ㅠㅠ
,Ugz2o1_LfI1MY0xrMrp4AaABAg,neg,,,구줌마들 이벤트컵보고 뭐 페이즈 별로 라느니 합이 별로 라느니 팀에 안맞는다 라느니 ㅋㅋㅋㅋㅋ 느그 구마유시는 이벤트컵때 털린경기가 훨씬 많은데요...?
,UgxfjT0k10mFxU3T0Pp4AaABAg,pos,,,"처남  넘 귀여워~ 
처남 너무 너무너무 귀여워~"
,UgxsD3sxL-O2gDF8OnB4AaABAg,pos,,,"그리웠는데 이렇게 보니 너무 좋네요....
그리워서 눈물이 나네요."
,UgzJxdOj7Q1TFfNpG_t4AaABAg,pos,,,진짜 보는내내 너무 재밌어서 감탄하면서 봤다... 존나 재밌네...
,UgwfzVkBlo7uMc38g9x4AaABAg,pos,,,"주디야!!! 너도 할수 있어 ㅎ
닉!! 화이팅!!!"
,UgxZCv4g-sivOhs6MYB4AaABAg,neu,,,Ironically they dont see that they have a fun match for T1 but they came here to  writte hate comments but i forgot at worlds they were with anyone vs T1 ??
,UgyUJ1k4LgOLlfguXzB4AaABAg,neu,,,"대충 이번 DLC 보니까 스토리상으로도

49:15
마고그룹은 폐기장으로 위장한 시제품 테스트 구역을 만들고 그 안에서 
원격 인공지능을 통한 군대 양성 프로젝트를 진행한 걸로 보임.
근데 만들어진 불가살이 제어 불가능한 걸 깨닫고 철수한듯
철수하면서 마고그룹 흔적은 죄다 지우고
군용로봇 페기장은 꼬리로 던져줬겠지.

본편에서 조정이 17호실 보낸 이유도 
이 새끼들 꼬롬한데 싶지만
작 중 마고그룹이 가진 경제적 영향력이 워낙 막강해서
조정에서도 예의주시만 한 상태였는데
갑자기 시민들 사이에서 왠 로봇 하나가
개 깽판을 치기 시작하니까 바로 17호실 보내서 조사했을테고
(작 중에서 준장 눈에만 안 보이는 거지. 막판에는 시민들도 멀쩡히 돌아다니고
기자들 드론도 겁나 날라다니고 있었음)

대충 견적 보니까 이 새끼들 인격 데이터화 연구해서 거의 성공한 거보고
싹 쓸어버리기로 가닥 잡았을듯.
괜히 어설프게 서버 하나라도 남겨놨다가
인격 데이터라도 어디 퍼졌으면 답도 없었을 테니까

상상이상으로 마고그룹 이 새끼들 개 또라이였네...?
조정 한 번 엎어보겠다고 1급 금지 기술을 줄넘기 하둣 넘어버리네 ㅋㅋㅋ"
,Ugz3XZiw90CSPOvQQJZ4AaABAg,pos,,,"끄헝...산나비 DLC라니 너무 좋네요.
브금도 진행하는 순간순간마다 파워풀해서 너무 재미있게 잘봤습니다."
,Ugz8HAEV8Me034CsDix4AaABAg,neu,,,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
물론 학생때 하는 흔한 실수고 예술적 아이디어는 좋지만 본인이 직접 가르칠 학생을 뽑는 교수라고 생각했을 때 시험장에서까지 꽃게가 죽을랑~ 말랑~ 하고 있는 그림을 그린 사람은

대단한 창의성의 4차원 천재이거나
대체로 과격하고 말 지지리도 안 듣는 이상한 놈 둘 중 하나라 너무너무 모 아니면 도 입니다...

물론 우리는 영상에 나오는 분의 외면과 말투를 통해 그저 웃고 넘길 정도의 에피소드라는 걸 알고 보지만 교수 입장에선 내장이 튀어나오는 꽃게가 그려진 그림만 보고 이 사람이 어떤지 상상해야 하기 때문이지요...
때문에 그림에서 혐오감을 조성할만한 요소가 조금이라도 있으면 대체로 불합격을 줍니다 ㅎㅎ
학원은 그런 위험부담을 굳이 가져갈 필요가 없으니 결사반대한 것이고요!!!

-> 요약하자면 그림이 별로라서가 아님
종이 너머의 사람이 어떤 학생일지 상상하며 합격작을 고르기 때문

댓글에서 아이디어 좋은 것 같은데 왜 안되냐는 질문이 많아 학원강사로서 댓글 달아봅니다..."
,UgzCv-fUUUT51CSV-hp4AaABAg,pos,,,"아.. 넘나 아름다운 가족이구나..
우리가 함께 있는 곳. 그곳이 집... 넘 좋아?"
,Ugwf1YfcbcSRr67uYzB4AaABAg,pos,,,"this is professional in professional, satisfying to seeing this work and skill."
,Ugyccaw5wG0Lbg97Nmh4AaABAg,pos,,,what an awesome work????
,Ugz3xEOMkvN5YJhtMMh4AaABAg,pos,,,Perfect clean job
,Ugzd35xU9RO8O5W_uwx4AaABAg,pos,,,"최욱 최고~~~????
내란 종식이 일년이 되도록 안되고 있지만, 이 정도 되고 있는것에 매불쇼의 기여가 큽니다~!!"
,Ugzz6jOfXjoCUEKyDa14AaABAg,neu,,,"Can somebody tell me the name for the throttle support pls, I struggle finding it"
,UgxlbClaLyCHFYcMCol4AaABAg,neu,,,What's with the wallpaper in the background?
,UgzUPAccMF8lldc8OUx4AaABAg,pos,,,아니 귀때기도 왜케 귀엽냐ㅋㅋㅋ
,Ugxfv5JhtC_5h-CGzaJ4AaABAg,pos,,,귀여어어어엉ㅋㅋㅋ?????하트백만개다 이녀석아!!!!??????
,UgzyVAB97HsUnc-ptEN4AaABAg,neg,,,I HATE AI!!
,Ugy9xJ2pto8MHqjDu994AaABAg,neg,,,There ought to be some way to report this is misinformation or something
,Ugz6rV-Oxd4j37F2wal4AaABAg,pos,,,원박아 너 이제 슈퍼스따야!!!!!
,Ugy8h7tp6csxYgCacUB4AaABAg,pos,,,"하...작년에 주우재에 빠져 침투부에서 런닝머신 뛰는걸 보며 겨우 빠져나왔는데,, 청룡타다가 돌다 돌다 마지막 정거장인건가?? ??"
,UgzRApqmFbykRVM3Rnd4AaABAg,pos,,,"일어나자마자 이도원 개 좋아 달린다 썅
1:43 도쨘 튀김
5:05 도쨘 콜라"
,UgzrRPrYqQ3FtFdJaUZ4AaABAg,neg,,,"오버워치가 진짜 돈떨어진게 맞는게 
스토리고 나발이고 LGBTQ 최고 사랑해~이러다 
욕 존나 쳐먹고 유저들 퉤퉤하고 나가니까 그때부터 신캐 예쁘게 내고 있음"
,UgxWgzkQHArpDLlhZw94AaABAg,pos,,,"누렁이는 여기가 내자리라는듯이 자연스럽게 의자에 기대눕는거 넘 사랑스럽네요ㅎ
세마리가 종도 다르고 더 귀엽네요??"
,UgyscZqAWUHx1EduRdl4AaABAg,neu,,,"루미너스가 체급은 좋아졌지만 
모닝스타폴 삭제로 인한 딸각사냥 너프 
진리의문이 원래는 무한 사용이 가능했으나 너프로 인해 또 사냥 너프 
오브 사출기 또한 하나가 사라져서 사냥이 또 너프 

리메이크 전에는 체급은 쓰레기고 사냥이 갓 직업이였으나 이제 사냥 사기까지는 아닌점 주의하세요~ 
챌린져스 자체가 사냥이 필수적인곳이라 피로감 생각하세요 루미 하실려는분들은 
참고로 1~2마리 빠져나가는게 생각보다 많아져서 체감이 커요 
(리메이크 이전에는 마릿수 달달한곳 제자리 딸각 사냥 가능했었는데 지금은 불가능 지역 많아졌어요)"
,Ugwr6Ezb1uhWjb4AnlB4AaABAg,neu,,,8월밸패때 쓰레기같은 증오의연쇄라는 스킬받고 핵폐기물됐다가 10월밸패때 다시 소생한 아크가 추천직업이 되었다니
,Ugz6jaDlY4eYh0eIUzV4AaABAg,neu,,,"익스우 하트쌀먹 8~9만대 까진
체급 고점 생각안하고 해도됨

필자기준 부캐중 듀블이 제일 쓰레기에
물투력인데 환산 9.4 끼고 익스우 까지 200퍼로 그냥 잘잡고있기에

그냥 컨셉 맘에드는걸로 하셈
그렇다고 진짜 쓰레기는 하지 마시고"
,Ugz0Ju4ec2u8yTc-TUx4AaABAg,neu,,,"서열 1위! 화났쪄!! 
일단 밥 먼저 먹고!! 복수해 주기 보다.... 
감히 나의 구역에서 니놈이 내 일을  넘봤냐!!!! 혼을 내도 내가 낸다!"
,UgzXnYw5-cwSQYrNl0B4AaABAg,neu,,,Dont tell me that... The girl wanted to do the......... With his boyfriend but then realized it was not him
,UgwCnZPbVxBZ5GORw0p4AaABAg,neu,,,I could see the fear this poor innocent man's expression ??
,UgwX4iurX7RIN9SLJ0l4AaABAg,neu,,,I think they did the:you know what.
,Ugw9OI1YCopNhCVPW9B4AaABAg,neg,,,담배피우는것들 연기에 냄새에 꽁초에 불도 나고 침도 막뱉고 아주 거리를 쓰레기장으로 만드는 것들 .싱가포르같이 담배꽁초 한개당 수십만원 물려야된다
,UgxXpVff8_ACMNWJPTV4AaABAg,neu,,,드라마를 쓰라고 했더니 1컷 2컷 와..진 짜 놀랬습니다.. 인간은 코딩 같더군요.. 그래픽 디자인과 4년제 나왔는데 ..직업 바꿨어요..ㅎㅎ
,Ugym-_X-eyBirx80IoN4AaABAg,pos,,,"엄청났네요. 제미나이 3.0은 역시 결
제를 해야 원하는 그림들을 창출해주
는 결과물에 돈이 제값을 해주고 있다
는 온선님 영상을 보니 그런 생각들이
드네요.여러 가지 생각들이 들 수밖에 
없었는데, 인간들이 미처 생각하지 못
한 AI의 역습이 코앞까지 오지 않았나 
하는 생각이 문득 들게 되었습니다..
감탄사가 저절로 나오며 영상을 잘
보고 갑니다..."
,UgzOi6cKWguyDfj0Ybx4AaABAg,pos,,,"God of Nazarret.....?

Nice one.....bravo"
,Ugw2Ot6naJDIqXTs6fd4AaABAg,pos,,,"손흥민을 괴롭힌 너 이해한다....
너도 그냥 열심히 한거잖아,,,,
너의 행동이 우리 흥민이를 인정하는 거잖아,,,,
you have to tried"
,Ugy39iIww1hETurVIfN4AaABAg,pos,,,ㅋㅋㅋ잠깐 송신 오류났나보네ㅋㅋ주지훈 너무웃겨?
,UgwB1ve0q_tVhGALQpZ4AaABAg,pos,,,미친편집이네진짜ㅋㅋㅋ
,UgxbkzahPb9J9XoNgRR4AaABAg,pos,,,편집자컷 높다 진짜ㅋㅋㅋ
,UgyetHyFKLX__xSMdf54AaABAg,neu,,,저건 돈 받으면 내 맘이 더 불편하겠네.. 역시 지인 돈 빌려주는 건 버렸다 셈 치는 게 맞는다. 갚을지 말지는 생각하지 말고 그냥 빌려주고 싶을 만한 사이에 빌려준 본인에게 부담 안될 만치만 빌려주는 게 맞다.
,UgwEXWLQm07ZIuH3ezd4AaABAg,neg,,,"나도 고등학교 친구 두명이 어렵다 사정사정 해서 큰돈 아니지만 80만, 120만 정도씩 빌려줌 군대 전역하고 바로 일시작해서 다른 애들 보다 여유가 있다보니 친하기도 하고 저정도는 안받아도 된다고 생가했었지 그렇게 2년 정도 지나서 아버지 뇌출혈로 쓰러져서 병원비 때문에 저번에 빌려준도 갚을 수 있냐고 물었더니 한넘은 장난 치지말라고 웃으며 넘기고 한병은 알았다고 하고 연락 두절됨 .. 안그래도 힘들어 뒤지겠는데 친구들까지 저러니 더힘들더라 그렇게 아버지 수술 끝나고 중환자실 1주일 넘게 있다가 나와서 3개월인가? 2개월인가? 입원 해서 치료받고 병원비 2천만원 넘게 나왔는데 보험들어 놓은게 있어서 돈은 한푼도 안들고 보험금으로 해결하고 돈이 남아서 작은 가게까지 ... 큼큼.. 무튼 내가 당장 갚으라는 것도 아니고 갚을 수 있냐고 물어본건데 그렇게 잠수 타고 잔난으로 취부하는 꼬라지보고 얼마나 실망했던지..불쌍한 넘들 적선 했다 치고 연락안함 그뒤로 난 친구 들한테 얼마 짜리일까? 문득 생각이나서 10만원씩 빌려 보기로 했지 그때가 26?27살 때였나? 딱 한넘이 빌려주더라 그리고 빌려주겠다고 한넘 몇명 근데 웃긴게 동네친구 초등학교때 친구 들이 빌려 준다고 하지 고딩 대학 친구들은 지들끼리 소문냄 돈 빌리고 다닌다고 ㅡㅡ; 얼척이 없어서 연락 안함 저장면 보닌깐 옛날 생각 나네 군대 전역하고 야간 알바로 모은 돈 친하다고 생각 한 친구넘들에게 빌려준건데 그뒤로 사람들 형식적으로 대하는 버릇 생기 사적인 대화 안하고  일정 선을 그어버림"
,UgyPRubYJ29BnA2C9lF4AaABAg,neu,,,아이폰 12미니 쓰고 있는데 13~15 는 약정 기간이 안 끝나서 그렇다 치고 17은 최악이고 .... IOS 지원하길 바라며 20을 기다려야... ㅠ
,UgyokmcsFbSFAtz3Abd4AaABAg,neu,,,qcy랑 에어팟 같이 쓰고 있는데 qcy 가성비 정말 좋음.
,UgxCqophRUT5Yc-Oo014AaABAg,neu,,,윤가놈님하고 하는 거 보고 싶다ㅋㅋㅋ
,UgzbxiH4y6y8eNb8Rbh4AaABAg,neg,,,That is so AI
,UgyHQv4YHicXDxTRuyV4AaABAg,pos,,,진짜 무슨 탱크 같음 ㅋㅋㅋㅋㅋ
,UgyolaQ-GBlSjk6BAtZ4AaABAg,pos,,,빽차장님 여기에도 나오시네!!!!
,UgyEs6FBtLHiT9Lh-H54AaABAg,neg,,,"So it’s basically a Samsung Flip wearing a fancy costume, huh?"
,UgxqsEDwui8onjH437R4AaABAg,pos,,,Super !!! ???
,Ugyr-iOd7GNACAWr_yJ4AaABAg,neu,,,"게임이름 : 99 Nights In The Forest
게임하기 : https://www.roblox.com/ko/games/79546208627805
거대 박쥐 보스를 물리치고 동굴을 정복해 보세요~!! ??????"
,UgzjXxV4pseFeRtE9C14AaABAg,pos,,,멋진 추억 감사~~~
,UgwBCg_2q5jpfmr61cF4AaABAg,pos,,,미쳤다~한화~독수리??????????????????
,Ugx0klFexrCBdYA2ks94AaABAg,neu,,,"나도 비슷한 가정환경이었어서 공감 좀 되는데 저런 부모면 걍 아예 없는 취급을 해버리는게 맞음. 나도 똑같이 고3때 진짜 힘들었는데 아예 가출 한 다음 부모가 눈앞에까지 올때까지 절때 연락하지도 돌아가지도 않았었고 돌아간 뒤로도 입시 끝날때까지 엄마랑은 대화 단 한마디도 안했음. 고3정도면 혼자서 밖에서 밥먹고 들어갈 수 있잖아. 어차피 다른거 딱히 할 시간도 없을 텐데 걍 학원이나 독서실에 계속 박혀있다가 집은 들어가서 잠만자는 공간으로 쓰셈. 밥도 먹어주지 않는게 맞음. 괜히 밥먹을 때 개염병떠니까. 아빠가 그나마 정상이면 아빠한테 잘 말해서 돈이라도 받아서 밥이랑 독서실 해결하면 입시 끝나고 대학가면 뭐 기숙사가고 해방이니까 버텨보셈. 난 아예 같은 나라에 있는 느낌 조차 혐오스러워서 아예 유학으로 한국 떠버리긴 했는데, 지금껏 한국 단 한 번도 안 돌아가고 자유로운 캠퍼스 라이프 보내는 중임 ㅋㅋㅋㅋ"
,Ugy6oVXp1HrRpXY9ZEN4AaABAg,pos,,,"와...저연세에 저 주먹스피드 저 풋워크 와.......역시 전설의 ""엄마 나 챔피언먹었어"" 홍수환옹이심.70년대 어린시절 국민학교 최고의 유행어가 엄마 나 챔피언먹었어였음....저 연세에도 저런 움직임이시라니. 진짜 살아있는 전설이심."
,UgyMLFHafqHuifpmvzl4AaABAg,pos,,,얼마나 놀라셨으면 마늘인지 못느끼셨을깤ㅋㅋㅋ 멋있으시당
,UgxAFW2A2ADHPxxgYjt4AaABAg,pos,,,감동입니다.감사합니다 ㅜㅜ?
,UgxzoJCMOYs6vzXSPi54AaABAg,neu,,,아니 9급 공무원에게 어찌 이런일이 ㅠㅠ ㅋㅋㅋㅋㅋ
,UgyV3rP4GEgeL-yxUMN4AaABAg,pos,,,"쭈굴미 상웅이 기대됩니다??
믿보배 준호 응원해요??"
,Ugzia7rbEE7SPlHRvdV4AaABAg,pos,,,경기보다 더 멋짐
,Ugzu0QXt_Om-AsNm6g54AaABAg,neu,,,"McLaren didn’t want to choose between Piastri and Norris, so they chose for Verstappen."
,UgxRjHppPuPSVngKteB4AaABAg,neg,,,What a shame for Piastri. He did nothing wrong all weekend and got his championship hopes robbed by his own team.
,Ugzbim5MRBQeKCxU9St4AaABAg,neg,,,Antonelli’s mistake happened at the perfect time. Who is providing engines to McLaren again? Hope FIA will check data.
,UgyteY2AzzQRKNoCuP94AaABAg,pos,,,Driver of the Day for Hulkenberg for turning this boring race into a masterclass ??
,Ugw9bLfI-jgJFsZyk1d4AaABAg,neu,,,Williams getting 2 podiums in 2025 wasn’t on my bingo card for the season
,UgwxS-7_aXvfTlUbNG14AaABAg,neg,,,What a shame for Oscar! He did nothing wrong all weekend and got his championship hopes robbed by his own team.
,UgyXY0ncAHmtz3jliT94AaABAg,neu,,,"아이패드 프로 모델도 변색되요
애플 지원 문의결과 애플 제품은 환경 온도 습도에 따라 변색이 된다고 답변받음...
어이 없어서 지원문의 중단함ㅋㅋㅋㅋ
캡쳐 해놓은거 올리고 싶은데 아쉽 ㅜㅜ"
